Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
BILLY Margaux MAURIN Leo,7,Nacra 17,(23.0),G,19,,269,246,Semaine Olympique Francaise De Voile 2022
LIU Justin LIM Denise,7,Nacra 17,14,G,20,,299,266,Semaine Olympique Francaise De Voile 2022
PETARD Titouan SALOU Chloe,7,Nacra 17,27,G,21,,316,283,Semaine Olympique Francaise De Voile 2022
BALANGER Enzo DUBOIS Roxane,7,Nacra 17,12,G,22,,318,285,Semaine Olympique Francaise De Voile 2022
CRAIN Carson ATWOOOD Caroline,7,Nacra 17,18,G,23,,321,288,Semaine Olympique Francaise De Voile 2022
BOOTH Ruben BOOTH Rita,7,Nacra 17,3,G,24,,362,329,Semaine Olympique Francaise De Voile 2022
HABERL Lukas FRANK Tanja,7,Nacra 17,DNF,G,25,,362,329,Semaine Olympique Francaise De Voile 2022
JONES Emma PUTTMAN Max,7,Nacra 17,26,G,26,,377,349,Semaine Olympique Francaise De Voile 2022
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra 17,25,G,27,,383,350,Semaine Olympique Francaise De Voile 2022
ASCHIERI Andrea CAMUSSO Anja,7,Nacra 17,24,G,28,,396,363,Semaine Olympique Francaise De Voile 2022
YADAV Ekta BHAIYA Karthik,7,Nacra 17,28,G,29,,443,410,Semaine Olympique Francaise De Voile 2022
TINDALE Daniel HEMMING Hebe,7,Nacra 17,DNF,G,30,,479,446,Semaine Olympique Francaise De Voile 2022
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra 17,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022
HIRSCH Arto ORSOLINI Elettra,7,Nacra 17,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022
TITA Ruggero BANTI Caterina,7,Nacra 17,4,MR,1,,42,36,Semaine Olympique Francaise De Voile 2022
GIMSON John BURNET Anna,7,Nacra 17,3,MR,2,,70,54,Semaine Olympique Francaise De Voile 2022
KURTBAY Sinem KESKINEN Akseli,7,Nacra 17,1,MR,3,,86,72,Semaine Olympique Francaise De Voile 2022
WATERHOUSE Jason DARMANIN Lisa,7,Nacra 17,5,MR,4,,118,97,Semaine Olympique Francaise De Voile 2022
WILKINSON Micah DAWSON Erica,7,Nacra 17,12,MR,5,,121,105,Semaine Olympique Francaise De Voile 2022
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra 17,18,MR,6,,149,116,Semaine Olympique Francaise De Voile 2022
MAJDALANI Mateo BOSCO Eugenia,7,Nacra 17,8,MR,7,,149,133,Semaine Olympique Francaise De Voile 2022
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra 17,13,MR,8,,152,136,Semaine Olympique Francaise De Voile 2022
VAN DER MEER Laila BOUWER Bjarne,7,Nacra 17,20,MR,9,,158,136,Semaine Olympique Francaise De Voile 2022
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra 17,2,MR,10,,179,156,Semaine Olympique Francaise De Voile 2022
JARUDD Emil JONSSON Hanna,7,Nacra 17,6,G,11,,170,149,Semaine Olympique Francaise De Voile 2022
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra 17,11,G,12,,172,155,Semaine Olympique Francaise De Voile 2022
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra 17,9,G,13,,195,176,Semaine Olympique Francaise De Voile 2022
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra 17,22,G,14,,210,186,Semaine Olympique Francaise De Voile 2022
LIDDELL Jake COPELAND Lucy,7,Nacra 17,14,G,15,,226,202,Semaine Olympique Francaise De Voile 2022
BESSON Billy ANCIAN Noa,7,Nacra 17,15,G,16,,244,211,Semaine Olympique Francaise De Voile 2022
LANGE Santiago TRAVASCIO Victoria,7,Nacra 17,16,G,17,,240,212,Semaine Olympique Francaise De Voile 2022
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra 17,19,G,18,,246,213,Semaine Olympique Francaise De Voile 2022
BILLY Margaux MAURIN Leo,7,Nacra 17,7,G,19,,269,246,Semaine Olympique Francaise De Voile 2022
LIU Justin LIM Denise,7,Nacra 17,17,G,20,,299,266,Semaine Olympique Francaise De Voile 2022
PETARD Titouan SALOU Chloe,7,Nacra 17,23,G,21,,316,283,Semaine Olympique Francaise De Voile 2022
BALANGER Enzo DUBOIS Roxane,7,Nacra 17,28,G,22,,318,285,Semaine Olympique Francaise De Voile 2022
CRAIN Carson ATWOOOD Caroline,7,Nacra 17,10,G,23,,321,288,Semaine Olympique Francaise De Voile 2022
BOOTH Ruben BOOTH Rita,7,Nacra 17,24,G,24,,362,329,Semaine Olympique Francaise De Voile 2022
HABERL Lukas FRANK Tanja,7,Nacra 17,DNF,G,25,,362,329,Semaine Olympique Francaise De Voile 2022
JONES Emma PUTTMAN Max,7,Nacra 17,25,G,26,,377,349,Semaine Olympique Francaise De Voile 2022
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra 17,26,G,27,,383,350,Semaine Olympique Francaise De Voile 2022
ASCHIERI Andrea CAMUSSO Anja,7,Nacra 17,21,G,28,,396,363,Semaine Olympique Francaise De Voile 2022
YADAV Ekta BHAIYA Karthik,7,Nacra 17,27,G,29,,443,410,Semaine Olympique Francaise De Voile 2022
TINDALE Daniel HEMMING Hebe,7,Nacra 17,DNF,G,30,,479,446,Semaine Olympique Francaise De Voile 2022
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra 17,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022
HIRSCH Arto ORSOLINI Elettra,7,Nacra 17,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022
TITA Ruggero BANTI Caterina,7,Nacra 17,4,MR,1,,42,36,Semaine Olympique Francaise De Voile 2022
GIMSON John BURNET Anna,7,Nacra 17,1,MR,2,,70,54,Semaine Olympique Francaise De Voile 2022
KURTBAY Sinem KESKINEN Akseli,7,Nacra 17,3,MR,3,,86,72,Semaine Olympique Francaise De Voile 2022
WATERHOUSE Jason DARMANIN Lisa,7,Nacra 17,2,MR,4,,118,97,Semaine Olympique Francaise De Voile 2022
WILKINSON Micah DAWSON Erica,7,Nacra 17,(16.0),MR,5,,121,105,Semaine Olympique Francaise De Voile 2022
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra 17,5,MR,6,,149,116,Semaine Olympique Francaise De Voile 2022
MAJDALANI Mateo BOSCO Eugenia,7,Nacra 17,12,MR,7,,149,133,Semaine Olympique Francaise De Voile 2022
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra 17,8,MR,8,,152,136,Semaine Olympique Francaise De Voile 2022
VAN DER MEER Laila BOUWER Bjarne,7,Nacra 17,9,MR,9,,158,136,Semaine Olympique Francaise De Voile 2022
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra 17,6,MR,10,,179,156,Semaine Olympique Francaise De Voile 2022
JARUDD Emil JONSSON Hanna,7,Nacra 17,13,G,11,,170,149,Semaine Olympique Francaise De Voile 2022
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra 17,11,G,12,,172,155,Semaine Olympique Francaise De Voile 2022
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra 17,7,G,13,,195,176,Semaine Olympique Francaise De Voile 2022
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra 17,(24.0),G,14,,210,186,Semaine Olympique Francaise De Voile 2022
LIDDELL Jake COPELAND Lucy,7,Nacra 17,14,G,15,,226,202,Semaine Olympique Francaise De Voile 2022
BESSON Billy ANCIAN Noa,7,Nacra 17,UFD,G,16,,244,211,Semaine Olympique Francaise De Voile 2022
LANGE Santiago TRAVASCIO Victoria,7,Nacra 17,20,G,17,,240,212,Semaine Olympique Francaise De Voile 2022
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra 17,10,G,18,,246,213,Semaine Olympique Francaise De Voile 2022
BILLY Margaux MAURIN Leo,7,Nacra 17,17,G,19,,269,246,Semaine Olympique Francaise De Voile 2022
LIU Justin LIM Denise,7,Nacra 17,UFD,G,20,,299,266,Semaine Olympique Francaise De Voile 2022
PETARD Titouan SALOU Chloe,7,Nacra 17,DNF,G,21,,316,283,Semaine Olympique Francaise De Voile 2022
BALANGER Enzo DUBOIS Roxane,7,Nacra 17,15,G,22,,318,285,Semaine Olympique Francaise De Voile 2022
CRAIN Carson ATWOOOD Caroline,7,Nacra 17,18,G,23,,321,288,Semaine Olympique Francaise De Voile 2022
BOOTH Ruben BOOTH Rita,7,Nacra 17,21,G,24,,362,329,Semaine Olympique Francaise De Voile 2022
HABERL Lukas FRANK Tanja,7,Nacra 17,DNF,G,25,,362,329,Semaine Olympique Francaise De Voile 2022
JONES Emma PUTTMAN Max,7,Nacra 17,23,G,26,,377,349,Semaine Olympique Francaise De Voile 2022
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra 17,19,G,27,,383,350,Semaine Olympique Francaise De Voile 2022
ASCHIERI Andrea CAMUSSO Anja,7,Nacra 17,22,G,28,,396,363,Semaine Olympique Francaise De Voile 2022
YADAV Ekta BHAIYA Karthik,7,Nacra 17,25,G,29,,443,410,Semaine Olympique Francaise De Voile 2022
TINDALE Daniel HEMMING Hebe,7,Nacra 17,26,G,30,,479,446,Semaine Olympique Francaise De Voile 2022
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra 17,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022
HIRSCH Arto ORSOLINI Elettra,7,Nacra 17,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022
TITA Ruggero BANTI Caterina,7,Nacra 17,1,MR,1,,42,36,Semaine Olympique Francaise De Voile 2022
GIMSON John BURNET Anna,7,Nacra 17,5,MR,2,,70,54,Semaine Olympique Francaise De Voile 2022
KURTBAY Sinem KESKINEN Akseli,7,Nacra 17,2,MR,3,,86,72,Semaine Olympique Francaise De Voile 2022
WATERHOUSE Jason DARMANIN Lisa,7,Nacra 17,7,MR,4,,118,97,Semaine Olympique Francaise De Voile 2022
WILKINSON Micah DAWSON Erica,7,Nacra 17,6,MR,5,,121,105,Semaine Olympique Francaise De Voile 2022
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra 17,4,MR,6,,149,116,Semaine Olympique Francaise De Voile 2022
MAJDALANI Mateo BOSCO Eugenia,7,Nacra 17,10,MR,7,,149,133,Semaine Olympique Francaise De Voile 2022
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra 17,12,MR,8,,152,136,Semaine Olympique Francaise De Voile 2022
VAN DER MEER Laila BOUWER Bjarne,7,Nacra 17,3,MR,9,,158,136,Semaine Olympique Francaise De Voile 2022
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra 17,8,MR,10,,179,156,Semaine Olympique Francaise De Voile 2022
JARUDD Emil JONSSON Hanna,7,Nacra 17,17,G,11,,170,149,Semaine Olympique Francaise De Voile 2022
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra 17,9,G,12,,172,155,Semaine Olympique Francaise De Voile 2022
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra 17,14,G,13,,195,176,Semaine Olympique Francaise De Voile 2022
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra 17,21,G,14,,210,186,Semaine Olympique Francaise De Voile 2022
LIDDELL Jake COPELAND Lucy,7,Nacra 17,13,G,15,,226,202,Semaine Olympique Francaise De Voile 2022
BESSON Billy ANCIAN Noa,7,Nacra 17,16,G,16,,244,211,Semaine Olympique Francaise De Voile 2022
LANGE Santiago TRAVASCIO Victoria,7,Nacra 17,19,G,17,,240,212,Semaine Olympique Francaise De Voile 2022
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra 17,18,G,18,,246,213,Semaine Olympique Francaise De Voile 2022
BILLY Margaux MAURIN Leo,7,Nacra 17,15,G,19,,269,246,Semaine Olympique Francaise De Voile 2022
LIU Justin LIM Denise,7,Nacra 17,22,G,20,,299,266,Semaine Olympique Francaise De Voile 2022
PETARD Titouan SALOU Chloe,7,Nacra 17,11,G,21,,316,283,Semaine Olympique Francaise De Voile 2022
BALANGER Enzo DUBOIS Roxane,7,Nacra 17,20,G,22,,318,285,Semaine Olympique Francaise De Voile 2022
CRAIN Carson ATWOOOD Caroline,7,Nacra 17,24,G,23,,321,288,Semaine Olympique Francaise De Voile 2022
BOOTH Ruben BOOTH Rita,7,Nacra 17,26,G,24,,362,329,Semaine Olympique Francaise De Voile 2022
HABERL Lukas FRANK Tanja,7,Nacra 17,DNF,G,25,,362,329,Semaine Olympique Francaise De Voile 2022
JONES Emma PUTTMAN Max,7,Nacra 17,25,G,26,,377,349,Semaine Olympique Francaise De Voile 2022
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra 17,23,G,27,,383,350,Semaine Olympique Francaise De Voile 2022
ASCHIERI Andrea CAMUSSO Anja,7,Nacra 17,UFD,G,28,,396,363,Semaine Olympique Francaise De Voile 2022
YADAV Ekta BHAIYA Karthik,7,Nacra 17,27,G,29,,443,410,Semaine Olympique Francaise De Voile 2022
TINDALE Daniel HEMMING Hebe,7,Nacra 17,DNF,G,30,,479,446,Semaine Olympique Francaise De Voile 2022
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra 17,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022
HIRSCH Arto ORSOLINI Elettra,7,Nacra 17,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022
TITA Ruggero BANTI Caterina,7,Nacra 17,1,MR,1,,42,36,Semaine Olympique Francaise De Voile 2022
GIMSON John BURNET Anna,7,Nacra 17,4,MR,2,,70,54,Semaine Olympique Francaise De Voile 2022
KURTBAY Sinem KESKINEN Akseli,7,Nacra 17,2,MR,3,,86,72,Semaine Olympique Francaise De Voile 2022
WATERHOUSE Jason DARMANIN Lisa,7,Nacra 17,7,MR,4,,118,97,Semaine Olympique Francaise De Voile 2022
WILKINSON Micah DAWSON Erica,7,Nacra 17,3,MR,5,,121,105,Semaine Olympique Francaise De Voile 2022
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra 17,13,MR,6,,149,116,Semaine Olympique Francaise De Voile 2022
MAJDALANI Mateo BOSCO Eugenia,7,Nacra 17,10,MR,7,,149,133,Semaine Olympique Francaise De Voile 2022
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra 17,11,MR,8,,152,136,Semaine Olympique Francaise De Voile 2022
VAN DER MEER Laila BOUWER Bjarne,7,Nacra 17,5,MR,9,,158,136,Semaine Olympique Francaise De Voile 2022
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra 17,6,MR,10,,179,156,Semaine Olympique Francaise De Voile 2022
JARUDD Emil JONSSON Hanna,7,Nacra 17,18,G,11,,170,149,Semaine Olympique Francaise De Voile 2022
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra 17,8,G,12,,172,155,Semaine Olympique Francaise De Voile 2022
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra 17,16,G,13,,195,176,Semaine Olympique Francaise De Voile 2022
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra 17,9,G,14,,210,186,Semaine Olympique Francaise De Voile 2022
LIDDELL Jake COPELAND Lucy,7,Nacra 17,21,G,15,,226,202,Semaine Olympique Francaise De Voile 2022
BESSON Billy ANCIAN Noa,7,Nacra 17,15,G,16,,244,211,Semaine Olympique Francaise De Voile 2022
LANGE Santiago TRAVASCIO Victoria,7,Nacra 17,12,G,17,,240,212,Semaine Olympique Francaise De Voile 2022
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra 17,14,G,18,,246,213,Semaine Olympique Francaise De Voile 2022
BILLY Margaux MAURIN Leo,7,Nacra 17,17,G,19,,269,246,Semaine Olympique Francaise De Voile 2022
LIU Justin LIM Denise,7,Nacra 17,23,G,20,,299,266,Semaine Olympique Francaise De Voile 2022
PETARD Titouan SALOU Chloe,7,Nacra 17,19,G,21,,316,283,Semaine Olympique Francaise De Voile 2022
BALANGER Enzo DUBOIS Roxane,7,Nacra 17,22,G,22,,318,285,Semaine Olympique Francaise De Voile 2022
CRAIN Carson ATWOOOD Caroline,7,Nacra 17,29,G,23,,321,288,Semaine Olympique Francaise De Voile 2022
BOOTH Ruben BOOTH Rita,7,Nacra 17,25,G,24,,362,329,Semaine Olympique Francaise De Voile 2022
HABERL Lukas FRANK Tanja,7,Nacra 17,20,G,25,,362,329,Semaine Olympique Francaise De Voile 2022
JONES Emma PUTTMAN Max,7,Nacra 17,24,G,26,,377,349,Semaine Olympique Francaise De Voile 2022
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra 17,27,G,27,,383,350,Semaine Olympique Francaise De Voile 2022
ASCHIERI Andrea CAMUSSO Anja,7,Nacra 17,28,G,28,,396,363,Semaine Olympique Francaise De Voile 2022
YADAV Ekta BHAIYA Karthik,7,Nacra 17,26,G,29,,443,410,Semaine Olympique Francaise De Voile 2022
TINDALE Daniel HEMMING Hebe,7,Nacra 17,30,G,30,,479,446,Semaine Olympique Francaise De Voile 2022
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra 17,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022
HIRSCH Arto ORSOLINI Elettra,7,Nacra 17,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022
TITA Ruggero BANTI Caterina,7,Nacra 17,1,MR,1,,42,36,Semaine Olympique Francaise De Voile 2022
GIMSON John BURNET Anna,7,Nacra 17,5,MR,2,,70,54,Semaine Olympique Francaise De Voile 2022
KURTBAY Sinem KESKINEN Akseli,7,Nacra 17,2,MR,3,,86,72,Semaine Olympique Francaise De Voile 2022
WATERHOUSE Jason DARMANIN Lisa,7,Nacra 17,6,MR,4,,118,97,Semaine Olympique Francaise De Voile 2022
WILKINSON Micah DAWSON Erica,7,Nacra 17,3,MR,5,,121,105,Semaine Olympique Francaise De Voile 2022
UGOLINI Gianluigi GIUBILEI Maria,7,Nacra 17,7,MR,6,,149,116,Semaine Olympique Francaise De Voile 2022
MAJDALANI Mateo BOSCO Eugenia,7,Nacra 17,9,MR,7,,149,133,Semaine Olympique Francaise De Voile 2022
SAOUMA-PEDERSEN Natac BORRESKOV Mathias Bruun,7,Nacra 17,8,MR,8,,152,136,Semaine Olympique Francaise De Voile 2022
VAN DER MEER Laila BOUWER Bjarne,7,Nacra 17,4,MR,9,,158,136,Semaine Olympique Francaise De Voile 2022
SVENSSON Ida DACKHAMMAR Marcus,7,Nacra 17,15,MR,10,,179,156,Semaine Olympique Francaise De Voile 2022
JARUDD Emil JONSSON Hanna,7,Nacra 17,20,G,11,,170,149,Semaine Olympique Francaise De Voile 2022
BERTHOMIEU Lou MOURNIAC Tim,7,Nacra 17,10,G,12,,172,155,Semaine Olympique Francaise De Voile 2022
FARESE Laura ZOCHLING MatthÃ¤us,7,Nacra 17,12,G,13,,195,176,Semaine Olympique Francaise De Voile 2022
NEWBERRY-MOORE Sarah LIEBENBERG David,7,Nacra 17,17,G,14,,210,186,Semaine Olympique Francaise De Voile 2022
LIDDELL Jake COPELAND Lucy,7,Nacra 17,11,G,15,,226,202,Semaine Olympique Francaise De Voile 2022
BESSON Billy ANCIAN Noa,7,Nacra 17,UFD,G,16,,244,211,Semaine Olympique Francaise De Voile 2022
LANGE Santiago TRAVASCIO Victoria,7,Nacra 17,16,G,17,,240,212,Semaine Olympique Francaise De Voile 2022
PASCHALIDIS IORDANIS PAPADOPOULOU MYRTO,7,Nacra 17,13,G,18,,246,213,Semaine Olympique Francaise De Voile 2022
BILLY Margaux MAURIN Leo,7,Nacra 17,18,G,19,,269,246,Semaine Olympique Francaise De Voile 2022
LIU Justin LIM Denise,7,Nacra 17,19,G,20,,299,266,Semaine Olympique Francaise De Voile 2022
PETARD Titouan SALOU Chloe,7,Nacra 17,14,G,21,,316,283,Semaine Olympique Francaise De Voile 2022
BALANGER Enzo DUBOIS Roxane,7,Nacra 17,24,G,22,,318,285,Semaine Olympique Francaise De Voile 2022
CRAIN Carson ATWOOOD Caroline,7,Nacra 17,22,G,23,,321,288,Semaine Olympique Francaise De Voile 2022
BOOTH Ruben BOOTH Rita,7,Nacra 17,23,G,24,,362,329,Semaine Olympique Francaise De Voile 2022
HABERL Lukas FRANK Tanja,7,Nacra 17,21,G,25,,362,329,Semaine Olympique Francaise De Voile 2022
JONES Emma PUTTMAN Max,7,Nacra 17,25,G,26,,377,349,Semaine Olympique Francaise De Voile 2022
SEGURA Iset FERNANDEZ FUERTES Marcos,7,Nacra 17,DNF,G,27,,383,350,Semaine Olympique Francaise De Voile 2022
ASCHIERI Andrea CAMUSSO Anja,7,Nacra 17,26,G,28,,396,363,Semaine Olympique Francaise De Voile 2022
YADAV Ekta BHAIYA Karthik,7,Nacra 17,RET,G,29,,443,410,Semaine Olympique Francaise De Voile 2022
TINDALE Daniel HEMMING Hebe,7,Nacra 17,27,G,30,,479,446,Semaine Olympique Francaise De Voile 2022
MARTINSEN Nicholas Fadle MORTENSEN Martine Steller,7,Nacra 17,DNF,G,31,,495,462,Semaine Olympique Francaise De Voile 2022
HIRSCH Arto ORSOLINI Elettra,7,Nacra 17,DNF,G,31EX,,495,462,Semaine Olympique Francaise De Voile 2022
