Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
TEN HOVE Alexandra / MILLEN Mariah,7,49erFX,15,G,11,,137,119,Semaine Olympique Francaise De Voile 2022
ALEH Jo / TSC/TYPBCMEECH Molly,7,49erFX,16,G,12,,142,123,Semaine Olympique Francaise De Voile 2022
GIUNCHIGLIA Sofia /SCHIO Gulia,7,49erFX,14,G,13,,138.13,123.13,Semaine Olympique Francaise De Voile 2022
BRICKWOOD Megan / ORTON Stéphanie,7,49erFX,1,G,14,,142,126,Semaine Olympique Francaise De Voile 2022
SUAREZ Patricia / RCN CANTERO Maria,7,49erFX,-15,G,15,,141,126,Semaine Olympique Francaise De Voile 2022
VAN AANHOLT Odile / SIEWERS Emma,7,49erFX,13,G,16,,147,127,Semaine Olympique Francaise De Voile 2022
HARDING Laura / WILMOT Annie,7,49erFX,3,G,17,,154,134,Semaine Olympique Francaise De Voile 2022
PICON Charline / LA STEYEART Sarah,7,49erFX,17,G,18,,161,143,Semaine Olympique Francaise De Voile 2022
DAHL ANDER Pia / EDLAND Nora,7,49erFX,11,G,19,,163,144,Semaine Olympique Francaise De Voile 2022
OMARI Carlotta / SEZ CARRARO Sveva,7,49erFX,9,G,20,,100,84,Semaine Olympique Francaise De Voile 2022
BLACK Freya / WPNSATIDEY Saskia,7,49erFX,12,G,21,,105,85,Semaine Olympique Francaise De Voile 2022
SICOURI Silvia / MARCHESINI Maria,7,49erFX,4,G,22,,101,86,Semaine Olympique Francaise De Voile 2022
LOVADINA Mathilde / RIOU Marine,7,49erFX,10,G,23,,113,93,Semaine Olympique Francaise De Voile 2022
PASSAMONTI Arianna FAVA Gulia,7,49erFX,-18,G,24,,116,98,Semaine Olympique Francaise De Voile 2022
PRICE Olivia / MHYC / HASELDINE Evie,7,49erFX,11,G,25,,119,99,Semaine Olympique Francaise De Voile 2022
PEYRE Manon STAMMINGER DE,7,49erFX,7,G,26,,119,102,Semaine Olympique Francaise De Voile 2022
TANAKA Misaki / NAGAMATSU Sera,7,49erFX,2,G,27,,121,103,Semaine Olympique Francaise De Voile 2022
BRISTOW Hannah / CARPENTER Anna,7,49erFX,7,G,28,,122,105,Semaine Olympique Francaise De Voile 2022
WILMOT Lucy / RYC.REINEKE Erika,7,49erFX,13,G,29,,127,110,Semaine Olympique Francaise De Voile 2022
BOEHM Nadine / WEISSKICHEL Lena,7,49erFX,12,G,30,,129,113,Semaine Olympique Francaise De Voile 2022
CZAPSKA Gabriela / RAJCHERT Hanna /,7,49erFX,8,G,31,,147,127,Semaine Olympique Francaise De Voile 2022
GARAU Marina / GARCIA Carlota,7,49erFX,16,G,32,,157,137,Semaine Olympique Francaise De Voile 2022
PAIS Helen / KALEV AUSMAN Helen,7,49erFX,10,G,33,,164,144,Semaine Olympique Francaise De Voile 2022
HIGHFIELD Molly / CHOI Sandy,7,49erFX,18,G,34,,168,148,Semaine Olympique Francaise De Voile 2022
HENRIKSSON Julia /PETTERSON Caroline,7,49erFX,9,G,35,,174,154,Semaine Olympique Francaise De Voile 2022
MOSS Alice / BERNTSSON Ebba,7,49erFX,DNC 20,G,36,,184,164,Semaine Olympique Francaise De Voile 2022
TUDELA Diana / CRL BARRON Adriana,7,49erFX,19,G,37,,188,168,Semaine Olympique Francaise De Voile 2022
TOMAR Harshita / SHERVEGAR Sweta,7,49erFX,17,G,38,,200,180,Semaine Olympique Francaise De Voile 2022
GRAEL Martine / RYC KUNZE Kahena,7,49erFX,5,G,1,,81,68,Semaine Olympique Francaise De Voile 2022
ROBLE Stephanie / SHEA Margaret,7,49erFX,9,G,2,,89,77,Semaine Olympique Francaise De Voile 2022
NOESS Helene / VOW RONNINGEN Marie /,7,49erFX,1,G,3,,98,79,Semaine Olympique Francaise De Voile 2022
BOBECK Vilma / KSSSNETZLER Rebecca /,7,49erFX,DSQ (20),G,4,,103,83,Semaine Olympique Francaise De Voile 2022
BRANZ Maria Sol / CARRANZA SAROLI,7,49erFX,3,G,5,,101.88,84.88,Semaine Olympique Francaise De Voile 2022
GRANIER Lara / SRRIOU Amélie,7,49erFX,8,G,6,,119,99,Semaine Olympique Francaise De Voile 2022
MAENHAUT Isaura / GEURTS Anouk,7,49erFX,7,G,7,,120,100,Semaine Olympique Francaise De Voile 2022
GERMANI Jana / TPKBERTUZZI Giorgia,7,49erFX,2,G,8,,118,100,Semaine Olympique Francaise De Voile 2022
MALONEY Alexandra / HOBBS Olivia,7,49erFX,10,G,9,,127,110,Semaine Olympique Francaise De Voile 2022
