,Id Resultado,Id Competidor,Nome Competidor,Id Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição
0,,,Fabien PIANAZZA  ,,IQFOIL Masc.,5,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
1,,,Fabien PIANAZZA  ,,IQFOIL Masc.,1,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
2,,,Fabien PIANAZZA  ,,IQFOIL Masc.,5,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
3,,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
4,,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
5,,,Fabien PIANAZZA  ,,IQFOIL Masc.,(8),G,1,,54,34,Semaine Olympique Francaise De Voile 2023
6,,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
7,,,Fabien PIANAZZA  ,,IQFOIL Masc.,5,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
8,,,Fabien PIANAZZA  ,,IQFOIL Masc.,(6),G,1,,54,34,Semaine Olympique Francaise De Voile 2023
9,,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
10,,,Fabien PIANAZZA  ,,IQFOIL Masc.,3,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
11,,,Fabien PIANAZZA  ,,IQFOIL Masc.,2,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
12,,,Fabien PIANAZZA  ,,IQFOIL Masc.,(6),G,1,,54,34,Semaine Olympique Francaise De Voile 2023
13,,,Fabien PIANAZZA  ,,IQFOIL Masc.,1,G,1,,54,34,Semaine Olympique Francaise De Voile 2023
14,,,Fabien PIANAZZA  ,,IQFOIL Masc.,1,Medal Race,1,,54,34,Semaine Olympique Francaise De Voile 2023
15,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
16,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,(9),G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
17,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,6,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
18,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,RDG4.70,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
19,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,6,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
20,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,(7),G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
21,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
22,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,3,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
23,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
24,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
25,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,1,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
26,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,1,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
27,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,BFD(22),G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
28,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,4,G,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
29,,,Onur Cavit  BIRIZ ,,IQFOIL Masc.,2,Medal Race,2,,71.7,33.7,Semaine Olympique Francaise De Voile 2023
30,,,Mateus ISAAC ,,IQFOIL Masc.,(4),G,3,,32,20,Semaine Olympique Francaise De Voile 2023
31,,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
32,,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
33,,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
34,,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
35,,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
36,,,Mateus ISAAC ,,IQFOIL Masc.,1,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
37,,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
38,,,Mateus ISAAC ,,IQFOIL Masc.,1,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
39,,,Mateus ISAAC ,,IQFOIL Masc.,1,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
40,,,Mateus ISAAC ,,IQFOIL Masc.,(5),G,3,,32,20,Semaine Olympique Francaise De Voile 2023
41,,,Mateus ISAAC ,,IQFOIL Masc.,(3),G,3,,32,20,Semaine Olympique Francaise De Voile 2023
42,,,Mateus ISAAC ,,IQFOIL Masc.,2,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
43,,,Mateus ISAAC ,,IQFOIL Masc.,3,G,3,,32,20,Semaine Olympique Francaise De Voile 2023
44,,,Mateus ISAAC ,,IQFOIL Masc.,3,Medal Race,3,,32,20,Semaine Olympique Francaise De Voile 2023
45,,,Will  MCMILLAN ,,IQFOIL Masc.,1,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
46,,,Will  MCMILLAN ,,IQFOIL Masc.,3,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
47,,,Will  MCMILLAN ,,IQFOIL Masc.,1,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
48,,,Will  MCMILLAN ,,IQFOIL Masc.,1,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
49,,,Will  MCMILLAN ,,IQFOIL Masc.,1,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
50,,,Will  MCMILLAN ,,IQFOIL Masc.,10,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
51,,,Will  MCMILLAN ,,IQFOIL Masc.,7,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
52,,,Will  MCMILLAN ,,IQFOIL Masc.,1,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
53,,,Will  MCMILLAN ,,IQFOIL Masc.,(14),G,4,,83,30,Semaine Olympique Francaise De Voile 2023
54,,,Will  MCMILLAN ,,IQFOIL Masc.,DNC(22),G,4,,83,30,Semaine Olympique Francaise De Voile 2023
55,,,Will  MCMILLAN ,,IQFOIL Masc.,2,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
56,,,Will  MCMILLAN ,,IQFOIL Masc.,(17),G,4,,83,30,Semaine Olympique Francaise De Voile 2023
57,,,Will  MCMILLAN ,,IQFOIL Masc.,1,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
58,,,Will  MCMILLAN ,,IQFOIL Masc.,2,G,4,,83,30,Semaine Olympique Francaise De Voile 2023
59,,,Will  MCMILLAN ,,IQFOIL Masc.,4,Medal Race,4,,83,30,Semaine Olympique Francaise De Voile 2023
60,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,(13),G,5,,100,63,Semaine Olympique Francaise De Voile 2023
61,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,(11),G,5,,100,63,Semaine Olympique Francaise De Voile 2023
62,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,3,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
63,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,8,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
64,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,(13),G,5,,100,63,Semaine Olympique Francaise De Voile 2023
65,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,3,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
66,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,6,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
67,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,8,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
68,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,3,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
69,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,10,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
70,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,9,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
71,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,5,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
72,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,3,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
73,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,5,G,5,,100,63,Semaine Olympique Francaise De Voile 2023
74,,,Francisco Cruz SAUBIDET BIRKNER ,,IQFOIL Masc.,5,Medal Race,5,,100,63,Semaine Olympique Francaise De Voile 2023
75,,,Kensei IKEDA ,,IQFOIL Masc.,10,G,6,,113,74,Semaine Olympique Francaise De Voile 2023
76,,,Kensei IKEDA ,,IQFOIL Masc.,4,G,6,,113,74,Semaine Olympique Francaise De Voile 2023
77,,,Kensei IKEDA ,,IQFOIL Masc.,10,G,6,,113,74,Semaine Olympique Francaise De Voile 2023
